epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.38700565695762634,0.0010000000474974513,1.5796465873718262,0.18719211220741272,1.970849990844726611,0.6221751570701599,0.0010000000474974513,1.0532169342041016,0.1822660118341446,2.2034652233123782,2,0.7069209218025208,0.0010000000474974513,0.820390522480011,0.2463054209947586,2.32107305526733433,0.7570621371269226,0.0010000000474974513,0.6889358162879944,0.25615763664245605,3.37721300125122074,04,0.8001412153244019,0.0010000000474974513,0.5982392430305481,0.3448275923728943,2.7864780426025395,05,0.8114407062530518,0.0010000000474974513,0.5456442832946777,0.3300492465496063,3.1256146430969246,6,0.8524011373519897,0.0005000000237487257,0.45765337347984314,0.37931033968925476,2.9545874595642097,7,0.869350254535675,0.0005000000237487257,0.412535160779953,0.4236453175544739,2.6313078,0.9011299618,0.8820621371269226,0.0005000000237487257,0.3936818540096283,0.45812806487083435,2.597009,0.90466099979,0.901129961013794,0.0005000000237487257,0.34590527415275574,0.467980295419693,2.189413010,0.91454810,0.8926553726196289,0.0005000000237487257,0.3301680088043213,0.4729064106941223,2.46487784311,0.9159611,0.9230226278305054,0.0002500000118743628,0.28463783860206604,0.5566502213478088,1.729706512,0.926553612,0.9258474707603455,0.0002500000118743628,0.26807281374931335,0.6354680061340332,1.2415213,0.93149715613,0.9413841962814331,0.0002500000118743628,0.24760672450065613,0.6305418610572815,1.346414,0.937146902014,0.9350282549858093,0.0002500000118743628,0.23677293956279755,0.6798029541969299,1.0251177549362183
15,0.9442090392112732,0.0002500000118743628,0.23745833337306976,0.6847290396690369,1.1565372943878174
16,0.9413841962814331,0.0002500000118743628,0.22568120062351227,0.7142857313156128,0.9947857856750488
17,0.9456214904785156,0.0002500000118743628,0.21928845345973969,0.7536945939064026,0.7409909963607788
18,0.9484463334083557,0.0002500000118743628,0.20518755912780762,0.807881772518158,0.7115435600280762
19,0.9498587846755981,0.0002500000118743628,0.20016516745090485,0.7487684488296509,0.9395266175270081
20,0.9604519605636597,0.0002500000118743628,0.19252686202526093,0.743842363357544,1.0045565366744995
21,0.9639830589294434,0.0002500000118743628,0.18502652645111084,0.7536945939064026,0.8427817225456238
22,0.9604519605636597,0.0002500000118743628,0.1873278170824051,0.7733989953994751,0.7608202695846558
23,0.9576271176338196,0.0002500000118743628,0.18414582312107086,0.7881773114204407,0.6770477294921875
24,0.9604519605636597,0.0002500000118743628,0.17052820324897766,0.7536945939064026,0.9679713249206543
25,0.9675140976905823,0.0002500000118743628,0.17292805016040802,0.8522167205810547,0.5025678277015686
26,0.973870038986206,0.0002500000118743628,0.16105782985687256,0.802955687046051,0.6441433429718018
27,0.965395450592041,0.0002500000118743628,0.16939677298069,0.7733989953994751,0.789229154586792
28,0.9703390002250671,0.0002500000118743628,0.15575776994228363,0.8275862336158752,0.5293319225311279
29,0.979519784450531,0.0002500000118743628,0.13685372471809387,0.8128078579902649,0.6276717782020569
30,0.9788135886192322,0.0002500000118743628,0.13432928919792175,0.8226600885391235,0.6402270793914795
31,0.9745762944221497,0.0001250000059371814,0.14560730755329132,0.7783251404762268,0.7972497344017029
32,0.9823446273803711,0.0001250000059371814,0.12641282379627228,0.7931034564971924,0.7429690957069397
33,0.9837570786476135,0.0001250000059371814,0.11828199774026871,0.7980295419692993,0.6528689861297607
34,0.9858757257461548,0.0001250000059371814,0.11971200257539749,0.8177340030670166,0.7124965190887451
35,0.9837570786476135,0.0001250000059371814,0.12177189439535141,0.7684729099273682,0.8822101354598999
36,0.9858757257461548,6.25000029685907e-05,0.12099217623472214,0.7832512259483337,0.7723196148872375
37,0.9894067645072937,6.25000029685907e-05,0.11047779023647308,0.7980295419692993,0.7405320405960083
,0.0001250000059371814,0.09713848680257797,0.7733989953994751,0.9189302325248718
39,0.991525411605835,0.0001250000059371814,0.10077930986881256,0.7635468244552612,1.038002371788025
40,0.994350254535675,0.0001250000059371814,0.09159689396619797,0.7290640473365784,1.270313024520874
41,0.9957627058029175,6.25000029685907e-05,0.0917723998427391,0.7487684488296509,1.120054841041565
42,0.9957627058029175,6.25000029685907e-05,0.08778700232505798,0.7733989953994751,0.9766612648963928
